Year,Week,Position,Title,Artist,Spotify_title,Spotify_artist,Spotify_artist_id,Duration,Spotify_popularity,Album_name,Release_date,Genres
2021,22,31,Miénteme,"Tini, Maria Becerra",Miénteme,"TINI, Maria Becerra",7vXDAI8JwjW531ouMGbfcp 1DxLCyH42yaHKGK3cl5bvG,165275.0,81.0,Miénteme,2021-04-29,"latin pop, pop argentino, latin pop, pop argentino"
2021,22,32,La Noche De Anoche,"Bad Bunny, Rosalía",LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",4q3ewBCX7sLwd24euuV69X 7ltDVBr6mKbRvohxheJ9h1,203200.0,81.0,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,"reggaeton, trap latino, r&b en espanol"
2021,22,33,Heat Waves,Glass Animals,Heat Waves,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,238805.0,82.0,Dreamland,2020-08-07,"gauze pop, indietronica, shiver pop"
2021,22,34,Høld On,Justin Bieber,Hold On,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,170813.0,3.0,Love Autumn 2022,2022-10-26,"canadian pop, pop"
2021,22,35,Up,Cardi B,Up,Cardi B,4kYSro6naA4h99UJvo89HB,156944.0,72.0,Up,2021-02-05,"dance pop, pop, rap"
2021,22,36,Mood,"24kGoldn, Iann Dior",Mood (feat. iann dior),"24kGoldn, iann dior",6fWVd57NKTalqvmjRd2t8Z 6ASri4ePR7RlsvIQgWPJpS,140533.0,82.0,El Dorado,2021-03-26,"cali rap, pop, pop rap, rap, melodic rap, pop, pop rap, rap"
2021,22,37,Build A Bitch,Bella Poarch,Build a Bitch,Bella Poarch,26cMerAxjx9GedFt0lMDjm,122772.0,75.0,Build a Bitch,2021-05-14,modern alternative pop
2021,22,38,Your Love (9PM),"ATB, Topic, A7S",Your Love (9PM),"ATB, Topic, A7S",7jZM5w05mGhw6wTB1okhD9 0u6GtibW46tFX7koQ6uNJZ 5Wg2b4Mp42gicxEeDNawf7,150052.0,77.0,Your Love (9PM),2021-01-15,"german dance, german techno, german trance, trance, dance pop, edm, electro house, german dance, pop dance, pop edm, tropical house, scandipop"
2021,22,39,Watermelon Sugar,Harry Styles,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,174000.0,88.0,Fine Line,2019-12-13,pop
2021,22,40,Arcade,Duncan Laurence,Arcade,Duncan Laurence,3klZnJvYGIbWritVwQD434,183624.0,79.0,Arcade,2019-03-07,dutch pop
2021,23,1,Butter,BTS,Butter,BTS,3Nrfpe0tUJi4K4DXYWgMUX,164952.0,82.0,Proof,2022-06-10,"k-pop, k-pop boy group"
2021,23,2,Good 4 U,Olivia Rodrigo,good 4 u,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,178146.0,86.0,SOUR,2021-05-21,pop
2021,23,3,Deja Vu,Olivia Rodrigo,deja vu,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,215506.0,86.0,SOUR,2021-05-21,pop
2021,23,4,Todo De Ti,Rauw Alejandro,Todo De Ti,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,199604.0,81.0,Todo De Ti,2021-05-20,"puerto rican pop, trap latino"
2021,23,5,Montero (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,137704.0,82.0,MONTERO,2021-09-17,"lgbtq+ hip hop, pop"
2021,23,6,Save Your Tears / Save Your Tears - Remix,"The Weeknd, The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",1Xyo4u8uXC1ZmMpatF05PJ 66CXWjxzNUsdJxJ2JdwvnR,191013.0,81.0,After Hours (Deluxe),2020-03-20,"canadian contemporary r&b, canadian pop, pop, dance pop, pop"
2021,23,7,Levitating,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),"Dua Lipa, DaBaby",6M2wZ9GZgrQXHCFfjv46we 4r63FhuTkUYltbVAg5TQnk,203064.0,84.0,Future Nostalgia,2020-03-27,"dance pop, pop, uk pop, north carolina hip hop, rap, trap"
2021,23,8,Kiss Me More,"Doja Cat, Sza",Kiss Me More (feat. SZA),"Doja Cat, SZA",5cj0lLjcoR7YOSnhnX0Po5 7tYKF4w9nC0nq9CsPZTHyP,208666.0,80.0,Planet Her,2021-06-25,"dance pop, pop, pop, r&b, rap"
2021,23,9,Peaches,"Justin Bieber, Daniel Caesar, Givēon",Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",1uNFoZAHBGtllmzznpCI3s 20wkVLutqVOYrc0kxFs7rA 4fxd5Ee7UefO4CUXgwJ7IP,198081.0,84.0,Justice,2021-03-19,"canadian pop, pop, canadian contemporary r&b, pop, r&b, pop, r&b"
2021,23,10,Leave The Door Open,"Silk Sonic, Bruno Mars, Anderson .Paak",Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0du5cEVh5yTK9QJze8zA0C 3jK9MiCrA42lLAdMGUZpwa 6PvvGcCY2XtUcSRld1Wilr,242096.0,83.0,An Evening With Silk Sonic,2021-11-11,"dance pop, pop, escape room, neo soul"
2021,23,11,Pareja Del Año,"Sebastián Yatra, Myke Towers",Pareja Del Año,"Sebastian Yatra, Myke Towers",07YUOmWljBTXwIseAUd9TW 7iK8PXO48WeuP03g8YR51W,195333.0,74.0,Dharma,2022-01-28,"colombian pop, reggaeton colombiano, reggaeton, trap latino"
2021,23,12,Drivers License,Olivia Rodrigo,drivers license,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,242013.0,86.0,SOUR,2021-05-21,pop
2021,23,13,El Makinon,"Karol G, Mariah Angeliq",EL MAKINON,"KAROL G, Mariah Angeliq",790FomKkXshlbRYZFtlgla 0KKUc4amZyvswV2YL6WTar,209160.0,78.0,KG0516,2021-03-26,"reggaeton, reggaeton colombiano, dominican pop, latin pop, perreo, rap latina, trap latino"
2021,23,14,Traitor,Olivia Rodrigo,traitor,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,229226.0,87.0,SOUR,2021-05-21,pop
2021,23,15,Dynamite,BTS,Dynamite,BTS,3Nrfpe0tUJi4K4DXYWgMUX,199053.0,84.0,BE,2020-11-20,"k-pop, k-pop boy group"
2021,23,16,Fiel,"Los Legendarios, Wisin, Jhay Cortez","Fiel (8-Bit Wisin, Jhay Cortez & Los Legendarios Emulation)",8-Bit Arcade,21VBNkZvKxrI9zmfFRxXvn,257625.0,0.0,"By Request, Vol. 131",2021-05-19,8-bit
2021,23,17,A:M,"Nio Garcia, Flow La Movie",Travesuras - Remix,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",5hdhHgpxyniooUiQVaPxQ0 1fux65HMCBvfJHqlBc4Nno 1i8SpTcr7yvPOmcqrbnVXY 1wZtkThiXbVNtj6hee6dz9 7iK8PXO48WeuP03g8YR51W 2oT7xd9iTO2ejLsNGIMa5f,324426.0,69.0,Travesuras (Remix),2021-03-11,"latin hip hop, reggaeton, trap latino, latin hip hop, reggaeton, reggaeton flow, trap latino, puerto rican pop, reggaeton, trap latino, electro latino, latin hip hop, reggaeton, trap latino, reggaeton, trap latino, trap latino"
2021,23,18,Ram Pam Pam,"Natti Natasha, Becky G",Ram Pam Pam,"Natti Natasha, Becky G",1GDbiv3spRmZ1XdM1jQbT7 4obzFoKoKRHIphyHzJ35G3,200785.0,67.0,Ram Pam Pam,2021-04-20,"latin hip hop, latin pop, rap latina, reggaeton, trap latino, latin viral pop, pop, rap latina, reggaeton"
2021,23,19,Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,132780.0,78.0,Astronaut In The Ocean,2021-01-06,australian hip hop
2021,23,20,Dákiti,"Bad Bunny, Jhay Cortez",DÁKITI,"Bad Bunny, Jhay Cortez",4q3ewBCX7sLwd24euuV69X 0EFisYRi20PTADoJrifHrz,205090.0,80.0,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,"reggaeton, trap latino, reggaeton, reggaeton flow, trap latino"
2021,23,21,2/Catorce,"Rauw Alejandro, Mr. Naisgai",2/Catorce,"Rauw Alejandro, Mr. Naisgai",1mcTU81TzQhprhouKaTkpq 37BIBvfliXJpSgn10yQUJM,205714.0,72.0,VICE VERSA,2021-12-10,"puerto rican pop, trap latino, "
2021,23,22,Zitti E Buoni,Måneskin,ZITTI E BUONI,Måneskin,0lAWpj5szCSwM4rUMHYmrr,194786.0,75.0,Teatro d'ira - Vol. I,2021-03-19,"indie rock italiano, italian pop"
2021,23,23,Rapstar,Polo G,RAPSTAR,Polo G,6AgTAQt8XS6jRWi4sX7w49,165925.0,81.0,Hall of Fame,2021-06-11,chicago rap
2021,23,24,Build A Bitch,Bella Poarch,Build a Bitch,Bella Poarch,26cMerAxjx9GedFt0lMDjm,122772.0,75.0,Build a Bitch,2021-05-14,modern alternative pop
2021,23,25,Miénteme,"Tini, Maria Becerra",Miénteme,"TINI, Maria Becerra",7vXDAI8JwjW531ouMGbfcp 1DxLCyH42yaHKGK3cl5bvG,165275.0,81.0,Miénteme,2021-04-29,"latin pop, pop argentino, latin pop, pop argentino"
2021,23,26,Friday (Dopamine Re-Edit),"Riton, Nightcrawlers, Mufasa, Hypeman",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",7i9j813KFoSBMldGqlh2Z1 1gALaWbNDnwS2ECV09sn2A 4L2dV3zY7RmkeiNO035Fi0 3Edve4VIATi0OZngclQlkN,169153.0,81.0,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15,"dance pop, edm, house, pop dance, tropical house, uk dance, disco house, hip house, vocal house, edm, pop dance, tropical house, "
2021,23,27,Bandido,"Myke Towers, Juhn",Bandido,"Myke Towers, Juhn",7iK8PXO48WeuP03g8YR51W 2LmcxBak1alK1bf7d1beTr,232853.0,73.0,Bandido,2020-12-10,"reggaeton, trap latino, reggaeton, reggaeton flow, trap latino"
2021,23,28,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,200040.0,90.0,After Hours,2020-03-20,"canadian contemporary r&b, canadian pop, pop"
2021,23,29,La Noche De Anoche,"Bad Bunny, Rosalía",LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",4q3ewBCX7sLwd24euuV69X 7ltDVBr6mKbRvohxheJ9h1,203200.0,81.0,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,"reggaeton, trap latino, r&b en espanol"
2021,23,30,Body - Remix,"Tion Wayne, Russ Millions, ArrDee, E1, 3x3, , ZT, 3x3, , Bugzy Malone, Buni, Fivio Foreign, Darkoo",Body - Remix,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo",7b79bQFziJFedJb75k6hFt 3FoFW2AoUGRHBacC6i4x4p 7m0BsF0t3K9WQFgKoPejfk 63ebc5zUpJ36aoTDQJHa9B 2uIRmVaCVpHQjaVgph5clS 4Dokdwa3WB7ilQ2c2qvIBL 5AiY4bxeXerLXx03JADdQv 14CHVeJGrR5xgUGQFV5BVM 4QSTyDpxsKmv3UfavVUImR,278085.0,1.0,Totally Rap,2022-10-21,"london rap, melodic drill, uk drill, uk hip hop, uk drill, , grime, manchester hip hop, uk hip hop, uk drill, brooklyn drill, new york drill, rap, trap, afroswing, london rap, uk hip hop"
2021,23,31,Heartbreak Anniversary,Givēon,Heartbreak Anniversary,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,198370.0,83.0,TAKE TIME,2020-03-27,"pop, r&b"
2021,23,32,Telepatía,Kali Uchis,telepatía,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,160191.0,81.0,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04,"colombian pop, pop"
2021,23,33,The Business,Tiësto,The Business,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,164000.0,81.0,The Business,2020-09-16,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house"
2021,23,34,Your Power,Billie Eilish,Your Power,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,245896.0,76.0,Happier Than Ever,2021-07-30,"art pop, electropop, pop"
2021,23,35,Botella tras botella,Gera MX + Christian Nodal,Botella Tras Botella,"Gera MX, Christian Nodal",2hejA1Dkf8v8R0koF44FvW 0XwVARXT135rw8lyw1EeWP,197333.0,35.0,And I was running far away,2021-05-14,"mexican hip hop, rap conciencia, mariachi, musica mexicana, nueva musica mexicana, ranchera"
2021,23,36,Arcade,Duncan Laurence,Arcade,Duncan Laurence,3klZnJvYGIbWritVwQD434,183624.0,79.0,Arcade,2019-03-07,dutch pop
2021,23,37,Heat Waves,Glass Animals,Heat Waves,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,238805.0,82.0,Dreamland,2020-08-07,"gauze pop, indietronica, shiver pop"
2021,23,38,Mood,"24kGoldn, Iann Dior",Mood (feat. iann dior),"24kGoldn, iann dior",6fWVd57NKTalqvmjRd2t8Z 6ASri4ePR7RlsvIQgWPJpS,140533.0,82.0,El Dorado,2021-03-26,"cali rap, pop, pop rap, rap, melodic rap, pop, pop rap, rap"
2021,23,39,Runaway,Aurora,Runaway,AURORA,1WgXqy2Dd70QQOU7Ay074N,248826.0,74.0,All My Demons Greeting Me as a Friend (Deluxe),2014,"art pop, norwegian pop"
2021,23,40,Watermelon Sugar,Harry Styles,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,174000.0,88.0,Fine Line,2019-12-13,pop
2021,24,1,Good 4 U,Olivia Rodrigo,good 4 u,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,178146.0,86.0,SOUR,2021-05-21,pop
2021,24,2,Todo De Ti,Rauw Alejandro,Todo De Ti,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,199604.0,81.0,Todo De Ti,2021-05-20,"puerto rican pop, trap latino"
2021,24,3,Butter,BTS,Butter,BTS,3Nrfpe0tUJi4K4DXYWgMUX,164952.0,82.0,Proof,2022-06-10,"k-pop, k-pop boy group"
2021,24,4,Save Your Tears / Save Your Tears - Remix,"The Weeknd, The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",1Xyo4u8uXC1ZmMpatF05PJ 66CXWjxzNUsdJxJ2JdwvnR,191013.0,81.0,After Hours (Deluxe),2020-03-20,"canadian contemporary r&b, canadian pop, pop, dance pop, pop"
2021,24,5,Montero (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,137704.0,82.0,MONTERO,2021-09-17,"lgbtq+ hip hop, pop"
2021,24,6,Levitating,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),"Dua Lipa, DaBaby",6M2wZ9GZgrQXHCFfjv46we 4r63FhuTkUYltbVAg5TQnk,203064.0,84.0,Future Nostalgia,2020-03-27,"dance pop, pop, uk pop, north carolina hip hop, rap, trap"
2021,24,7,Deja Vu,Olivia Rodrigo,deja vu,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,215506.0,86.0,SOUR,2021-05-21,pop
